shapeid,x,y,address
0,-73.7431360583,40.6577094601,240-53 Edgewood Street
1,-73.8875191667,40.7348040486,74-23 Calamus Avenue
2,-73.8183810399,40.6729389579,130-28 121st Street
3,-73.7757154007,40.7551613381,46-36 Clearview Expressway
4,-73.8410527538,40.5781315278,120-17 Rockaway Beach Boulevard
5,-73.7761143452,40.7522463082,48-20 204th Street
6,-73.7863060623,40.7152522862,86-1 178th Street
7,-73.8072319632,40.6874884255,138-7 Hawtree Creek Road
8,-73.8354016392,40.678498962,103-11 109th Avenue
9,-73.7810191491,40.7005260926,175-14 108th Avenue
10,-73.8549806459,40.7857997645,112-2 13th Avenue
11,-73.7608601171,40.6982631944,191-40 114th Avenue
12,-73.8197548886,40.6717495423,113-14 109th Avenue
13,-73.8301504763,40.7049545572,83-22 122nd Street
14,-73.8006723355,40.6940640439,107-13 150th Street
15,-73.8488720552,40.6876445893,94-12 94th Street
16,-73.8169689393,40.6790677851,114-22 109th Avenue
17,-73.7276422709,40.692386944,116-28 Cross Island Parkway
18,-73.7964089289,40.6860479666,111-69 Liverpool Street
19,-73.7298362022,40.6638124288,249-14 Ocean Avenue
20,-73.8350396586,40.7083233317,131 82nd Drive
21,-73.8300124915,40.7052357061,83-12 122nd Street
22,-73.8258021229,40.6774045597,112-15 Rockaway Boulevard
23,-73.8097896143,40.6866218093,134-7 Hawtree Creek Road
24,-73.7421200745,40.76012098,240-34 Hanford Street
25,-73.8280428108,40.7899726558,34 Center Drive
26,-73.9030134258,40.7255734596,61-32 55th Drive
27,-73.8471656635,40.6630117019,86-10 Shore Parkway
28,-73.799039637,40.591025866,305 Beach 71st Street
29,-73.7722001576,40.6719977711,137-10 168th Street
30,-73.7496681322,40.7743336741,237-20 36th Avenue
31,-73.7489458705,40.7769312791,32-15 240th Street
32,-73.8317337417,40.7676132652,32-1 Linden Street
33,-73.8086717042,40.7831617017,17-20 Clintonville Street
34,-73.8459891654,40.7874093623,12-8 College Point Boulevard
35,-73.814694527,40.7533349424,146-14 46th Avenue
36,-73.7792630294,40.7880469773,214-32 Waters Edge Drive
37,-73.7529488311,40.7798364317,6 28th Avenue
38,-73.7496512681,40.7753824893,233 35th Avenue
39,-73.8601885487,40.719661848,85-89 Fleet Street
40,-73.7797361597,40.7653223331,36-21 207th Street
41,-73.7533078081,40.778908139,1 30th Avenue
42,-73.8454424665,40.7871706688,11-27 122nd Street
43,-73.842710429,40.7162622807,3 72nd Road
44,-73.8990021628,40.7588247259,30-35 68th Street
45,-73.8428740594,40.7161848334,80 72nd Road
46,-73.7522667815,40.7776972542,236-18 31st Avenue
47,-73.7491520694,40.7782306289,331 Grosvenor Road
48,-73.8442744379,40.7146422891,104-1 72nd Road
49,-73.7524768199,40.7755708191,101 34th Avenue
50,-73.7807096934,40.7789174824,2 Bay Club Drive
51,-73.8150015422,40.7534735369,146-9 46th Avenue
52,-73.7799167031,40.7879942911,214-16 Waters Edge Drive
53,-73.8974843802,40.727435767,66-39 56th Avenue
54,-73.7783160946,40.7626821833,39-21 207th Street
55,-73.7594015791,40.5968574381,308 Beach 26th Street
56,-73.7537624657,40.7281018938,214-9 Grand Central Parkway
57,-73.7881818087,40.7871419891,13-28 Lori Drive
58,-73.7526374285,40.7777050857,104 31st Avenue
59,-73.7537032039,40.7772503045,12 32nd Avenue
60,-73.8407945972,40.7166830075,27 74th Avenue
61,-73.748382928,40.7780497205,342 31st Avenue
62,-73.7522553131,40.7780111127,236-13 31st Avenue
63,-73.8455834033,40.7861387599,13-21 122nd Street
64,-73.7721283832,40.7470171969,56-57 205th Street
65,-73.7505043955,40.7805401925,330 27th Avenue
66,-73.8171320264,40.608979667,113 6th Road
67,-73.7463511816,40.7762756223,364 34th Avenue
68,-73.7506183807,40.7803576149,240-26 27th Avenue
69,-73.7376258061,40.7688719337,43-43 250th Street
70,-73.7840311203,40.7708289712,32-12 206th Street
71,-73.7485966696,40.7321422342,219-9 Grand Central Parkway
72,-73.7756767716,40.7514466533,48-52 204th Street
73,-73.8229308404,40.7254003616,141-16 72nd Road
74,-73.7468883464,40.7769186633,352 33rd Avenue
75,-73.8285309923,40.7917202387,28 Boulevard
76,-73.7502275716,40.7309938456,218-27 Grand Central Parkway
77,-73.738086862,40.7692549698,43-21 250th Street
78,-73.8219943992,40.6032871619,39 14th Road
79,-73.7465567902,40.7762479158,240-60 34th Avenue
80,-73.7537662956,40.7776223395,235-15 32nd Avenue
81,-73.7466901004,40.7776512083,240-78 32nd Avenue
82,-73.7491767503,40.7758310708,248 34th Avenue
83,-73.8207116276,40.6045753665,15 12th Road
84,-73.8456767809,40.7844722276,14-33 122nd Street
85,-73.7475655555,40.7754038038,312 35th Avenue
86,-73.7498349355,40.7777992064,31-1 240th Street
87,-73.7504002653,40.7773615191,231 32nd Avenue
88,-73.8848460533,40.7173946652,70-5 63rd Avenue
89,-73.8259712808,40.7929949499,7 Boulevard
90,-73.753333824,40.7751375665,6 34th Avenue
91,-73.8227972779,40.7254388765,141-20 72nd Road
92,-73.8227600439,40.6032050333,56 14th Road
93,-73.8980074127,40.7271672627,66-23 56th Avenue
94,-73.7516996857,40.7786729984,123 30th Avenue
95,-73.7502972001,40.7798481407,240-30 28th Avenue
96,-73.7747805544,40.7525413356,48-23 205th Street
97,-73.7341545016,40.7712121954,45-20 254th Street
98,-73.8605619147,40.7191683527,85-74 Fleet Street
99,-73.7716905948,40.7461074323,58-27 205th Street
100,-73.9863283942,40.7386214408,60 Gramercy Park
101,-73.899020691,40.7586090879,30-43 Brooklyn Queens Expwy E Sr N
102,-73.7510869607,40.7720680663,38-35 Douglaston Parkway
103,-73.7749883344,40.7544183298,47-17 Clearview Expressway
104,-73.7746568498,40.7492013272,53-16 204th Street
105,-73.7477371742,40.7784728481,371 Grosvenor Road
106,-73.7522159161,40.7800651335,235-29 28th Avenue
107,-73.9069024001,40.728094321,59-51 Queens Midtown Expressway Sr N
108,-73.8441645317,40.7154216498,21 Russell Place
109,-73.8220088474,40.7252500198,141-65 72nd Road
