"shapeid","x","y","house_num","special_co","streetname"
"0","-73.7431360583","40.6577094601","240-053","B","EDGEWOOD STREET"
"1","-73.8875191667","40.7348040486","74-023","B","CALAMUS AVENUE"
"2","-73.8183810399","40.6729389579","130-028","B","121 STREET"
"3","-73.7757154007","40.7551613381","46-036","B","CLEARVIEW EXPRESSWAY"
"4","-73.8410527538","40.5781315278","120-017","B","ROCKAWAY BEACH BOULEVARD"
"5","-73.7761143452","40.7522463082","48-020","B","204 STREET"
"6","-73.7863060623","40.7152522862","86-001","B","178 STREET"
"7","-73.8072319632","40.6874884255","138-007","B","HAWTREE CREEK ROAD"
"8","-73.8354016392","40.678498962","103-011","B","109 AVENUE"
"9","-73.7810191491","40.7005260926","175-014","B","108 AVENUE"
"10","-73.8549806459","40.7857997645","112-002","B","13 AVENUE"
"11","-73.7608601171","40.6982631944","191-040","B","114 AVENUE"
"12","-73.8197548886","40.6717495423","113-014","B","109 AVENUE"
"13","-73.8301504763","40.7049545572","83-022","B","122 STREET"
"14","-73.8006723355","40.6940640439","107-013","B","150 STREET"
"15","-73.8488720552","40.6876445893","94-012","B","94 STREET"
"16","-73.8169689393","40.6790677851","114-022","B","109 AVENUE"
"17","-73.7276422709","40.692386944","116-028","B","CROSS ISLAND PARKWAY"
"18","-73.7964089289","40.6860479666","111-069","B","LIVERPOOL STREET"
"19","-73.7298362022","40.6638124288","249-014","B","OCEAN AVENUE"
"20","-73.8350396586","40.7083233317","131","B","82 DRIVE"
"21","-73.8300124915","40.7052357061","83-012","B","122 STREET"
"22","-73.8258021229","40.6774045597","112-015","B","ROCKAWAY BOULEVARD"
"23","-73.8097896143","40.6866218093","134-007","B","HAWTREE CREEK ROAD"
"24","-73.7421200745","40.76012098","240-034","B","HANFORD STREET"
"25","-73.8280428108","40.7899726558","34","B","CENTER DRIVE"
"26","-73.9030134258","40.7255734596","61-032","B","55 DRIVE"
"27","-73.8471656635","40.6630117019","86-010","B","SHORE PARKWAY"
"28","-73.799039637","40.591025866","305","B","BEACH 71 STREET"
"29","-73.7722001576","40.6719977711","137-010","B","168 STREET"
"30","-73.7496681322","40.7743336741","237-020","B","36 AVENUE"
"31","-73.7489458705","40.7769312791","32-015","B","240 STREET"
"32","-73.8317337417","40.7676132652","32-001","B","LINDEN STREET"
"33","-73.8086717042","40.7831617017","17-020","B","CLINTONVILLE STREET"
"34","-73.8459891654","40.7874093623","12-008","B","COLLEGE POINT BOULEVARD"
"35","-73.814694527","40.7533349424","146-014","B","46 AVENUE"
"36","-73.7792630294","40.7880469773","214-032","B","WATERS EDGE DRIVE"
"37","-73.7529488311","40.7798364317","6","B","28 AVENUE"
"38","-73.7496512681","40.7753824893","233","B","35 AVENUE"
"39","-73.8601885487","40.719661848","85-089","B","FLEET STREET"
"40","-73.7797361597","40.7653223331","36-021","B","207 STREET"
"41","-73.7533078081","40.778908139","1","B","30 AVENUE"
"42","-73.8454424665","40.7871706688","11-027","B","122 STREET"
"43","-73.842710429","40.7162622807","3","B","72 ROAD"
"44","-73.8990021628","40.7588247259","30-035","B","68 STREET"
"45","-73.8428740594","40.7161848334","80","B","72 ROAD"
"46","-73.7522667815","40.7776972542","236-018","B","31 AVENUE"
"47","-73.7491520694","40.7782306289","331","B","GROSVENOR ROAD"
"48","-73.8442744379","40.7146422891","104-001","B","72 ROAD"
"49","-73.7524768199","40.7755708191","101","B","34 AVENUE"
"50","-73.7807096934","40.7789174824","2","B","BAY CLUB DRIVE"
"51","-73.8150015422","40.7534735369","146-009","B","46 AVENUE"
"52","-73.7799167031","40.7879942911","214-016","B","WATERS EDGE DRIVE"
"53","-73.8974843802","40.727435767","66-039","B","56 AVENUE"
"54","-73.7783160946","40.7626821833","39-021","B","207 STREET"
"55","-73.7594015791","40.5968574381","308","B","BEACH 26 STREET"
"56","-73.7537624657","40.7281018938","214-009","B","GRAND CENTRAL PARKWAY"
"57","-73.7881818087","40.7871419891","13-028","B","LORI DRIVE"
"58","-73.7526374285","40.7777050857","104","B","31 AVENUE"
"59","-73.7537032039","40.7772503045","12","B","32 AVENUE"
"60","-73.8407945972","40.7166830075","27","B","74 AVENUE"
"61","-73.748382928","40.7780497205","342","B","31 AVENUE"
"62","-73.7522553131","40.7780111127","236-013","B","31 AVENUE"
"63","-73.8455834033","40.7861387599","13-021","B","122 STREET"
"64","-73.7721283832","40.7470171969","56-057","B","205 STREET"
"65","-73.7505043955","40.7805401925","330","B","27 AVENUE"
"66","-73.8171320264","40.608979667","113","B","6 ROAD"
"67","-73.7463511816","40.7762756223","364","B","34 AVENUE"
"68","-73.7506183807","40.7803576149","240-026","B","27 AVENUE"
"69","-73.7376258061","40.7688719337","43-043","B","250 STREET"
"70","-73.7840311203","40.7708289712","32-012","B","206 STREET"
"71","-73.7485966696","40.7321422342","219-009","B","GRAND CENTRAL PARKWAY"
"72","-73.7756767716","40.7514466533","48-052","B","204 STREET"
"73","-73.8229308404","40.7254003616","141-016","B","72 ROAD"
"74","-73.7468883464","40.7769186633","352","B","33 AVENUE"
"75","-73.8285309923","40.7917202387","28","B","BOULEVARD"
"76","-73.7502275716","40.7309938456","218-027","B","GRAND CENTRAL PARKWAY"
"77","-73.738086862","40.7692549698","43-021","B","250 STREET"
"78","-73.8219943992","40.6032871619","39","B","14 ROAD"
"79","-73.7465567902","40.7762479158","240-060","B","34 AVENUE"
"80","-73.7537662956","40.7776223395","235-015","B","32 AVENUE"
"81","-73.7466901004","40.7776512083","240-078","B","32 AVENUE"
